rch_site,scenario,dx,dy,Transient,Stationary
2,60,25.0,-25.0,266544.1703796387,489406.77642822266
2,61,25.0,-25.0,572775.3829956055,927766.7999267578
2,62,25.0,-25.0,302714.4432067871,549551.6204833984
2,63,25.0,-25.0,464387.3977661133,818041.7633056641
2,64,25.0,-25.0,1342357.0251464844,1956169.7387695312
2,65,25.0,-25.0,762139.892578125,684751.5869140625
2,66,25.0,-25.0,2355953.6743164062,2680894.1650390625
2,67,25.0,-25.0,323279.6096801758,360380.2490234375
2,68,25.0,-25.0,1620936.279296875,2076836.5478515625
2,69,25.0,-25.0,1279883.4228515625,1823783.4167480469
2,6,25.0,-25.0,794129.638671875,1496251.3732910156
2,70,25.0,-25.0,1181212.387084961,1789825.5920410156
2,71,25.0,-25.0,1179121.4752197266,2021485.1379394531
2,72,25.0,-25.0,342468.3380126953,688220.5963134766
2,73,25.0,-25.0,627809.4482421875,1037218.1701660156
2,74,25.0,-25.0,846372.3754882812,1557368.7744140625
2,75,25.0,-25.0,1401512.9089355469,2505250.3967285156
2,76,25.0,-25.0,1674556.2744140625,2436848.907470703
2,77,25.0,-25.0,2488798.5229492188,3544021.6064453125
2,78,25.0,-25.0,1946432.6477050781,2336286.9262695312
2,79,25.0,-25.0,413560.1043701172,413324.62310791016
2,7,25.0,-25.0,1859827.4230957031,3369801.3305664062
2,80,25.0,-25.0,1252739.7918701172,1562456.6650390625
2,81,25.0,-25.0,1448065.9484863281,2271608.428955078
2,82,25.0,-25.0,378007.16400146484,694787.3687744141
2,83,25.0,-25.0,529395.1416015625,1050944.82421875
2,84,25.0,-25.0,762421.0357666016,1792390.8996582031
